,update_id,year,month,day,word
7,8,2020,3,17,"회전,쾌속,제공,확인,먼지,통통,자신,스파이크,달성,사방,미스터,벌집,스타디움,몰리,친구,수량,뒤흔듭니,요술,롤러,점화,수정,참가,가젯,그녀,근처,보상,효과,맥스,향수,더독,패배,밸런스,스피너,기타,포코,기능,다이너마이트,럼블,쉘리,헤드폰,적도,포함,덤불,상점,조준,발사,플레이어,슈퍼,등장,팬케이크,조정,이제,마이크,피해,접촉,친선,피젯,예비,레벨,데미지,지면,영사기,추가,방어,누구,짐꾼,소리굽쇠,스니커즈,구덩이,이상,기압,파고,내의,장전,사기,가열,시럽,프랭크,프리,충격파,포트,업데이트,도움,일부,쟁취,득점,변경,이하,게임,속도,호의,나선형,공개,영광,로보,계정,마스코트,리코,방석,노이즈,일시,터렛,사랑,가득,가장,사용,비타민,칵테일,여러,교란,이면,포인트,상대,현재,드릴,핀볼,슈퍼셀,플레이,공중,이용,실드,의견,방향,보호,제거,다음,카트,플렉스,일정량,대릴,다시,보충,가시,벌꿀,오프라인,육성,전기,조기,경우,린지,지뢰,보너스,어깨,호루스,바위,감소,슬링,콜트,스타,라면,피해량,방해,여파,상승,서비스,레온,부활,면역,샌디,승리,로켓,토템,아군,듀오,웅덩이,조건,주변,대포,티켓,페니,초대,순간이동,모드,경기장,돌진,주위,특수,비트,일반,회복,설정,국가,발톱,해제,트로피,표시,램프,홀리,시스템,종료,반격,자리,카카오,여부,비비,가까이,스테이크,만듭니,스킨,치트키,크게,시작,오류,로사,안전모,가지,연동,이후,제시,평균,최대한,능력,브롤러,함정,오직,충족,위해,부스터,스타즈,프레임,혼합물,보석,에너지,흔듭니,치유,폭발,초능력,대학생,동안,조각,모델링,즉시,발리,직후,너구리,크로우,발견,탄환,마치,이벤트,전부,타라,티스,회전기,브롤,수면,지속,여러분,바늘,식물,하나,유도,삭제,콤보,초당,공격,순간,토끼,솔로,진행,거리,다운,아래,코치,위상,이동,가동,스프라우트,내용,감기,파워,대한,게이지,바닥,휴대,적용,엠즈,충전,무료,기절,은하수,주기,파괴,상자,파동,통탄,초희,육즙,모든,드림,브록,장치,재키,범위,증가,플러그,증폭기,자동,문제,환영"
13,14,2020,1,24,"확인,반영,배경,미스터,자신,점수,화가,신화,상품,롤러,수정,패배,바이러스,보상,조이스틱,밸런스,로봇,주의,화면,맞이,기타,상점,플레이어,등장,조정,피해,레벨,시간,추가,더블,짐꾼,적중,튕겨,횟수,정보,광역,업데이트,변경,게임,공개,조작,테이크다운,획득,척도,닌자,사용,기기,상대,핫존,의견,깡통,여행,오락실,히로인,설치,보이,린지,화난,장애물,기능,스타,가방,도울,승리,개선,아군,모드,특수,비트,일반,트로피,종료,거점,통해,비비,챔피언십,스킨,오류,랭크,태블릿,브롤러,큐피트,보석,에이전트,길거리,폭발,동안,토큰,활성화,제한,선택,이벤트,코알라,타라,점령,마지막,찾기,상태,여러분,하나,삭제,형태,공격,진행,진척,개편,내용,파워,매칭,대한,적용,특별,소환,취급,증가"
16,17,2019,12,18,"누락,배경,구석,신화,롤러,수정,참가,보상,그녀,효과,무리,맥스,기타,포코,곤충학자,발사,플레이어,슈퍼,그림자,피해,친선,레벨,추가,누구,더블,잠깐,코트,본인,탈락,장전,레이디,드론,대기,무적,데이,영웅,규칙,업데이트,변경,게임,속도,공개,아주,명예,샘플,이상은,사포,사용,메이킹,대체,듀스,명중,한번,의견,제자리,수집,천국,한정,보호,다음,적의,지급,대릴,다시,전기,린지,그룹,벌떼,허니,콜트,감소,스타,피해량,변동,레온,부활,업그레이드,승리,아군,손목,기지,모드,최대,특수,일반,해적,거대,래스터,트로피,조수,총알,기간,자리,매치,치명상,챔피언십,기계,스킨,오류,로사,능력,브롤러,선물,스타즈,보석,강철,먼저,동안,즉시,마치,벌침,타라,기반,상태,브롤,여러분,공격,버그,월간,캡틴,채팅,이동,파워,대한,더욱,승마,적용,텍스트,충전,유지,차지,모든,범위,자동,문제,증가"
19,20,2019,11,21,"업데이트,시도,기능,브라운,레온,프렌즈,동안,최소,매우,불길,면역,라인,향기,친구,활성화,보스,상품,선택,크로우,로켓,테이크다운,수정,조건,점검,화면,초대,기타,메카,여러분,지속,클럽,사용,특수,상점,조준,등장,설정,기기,레너드,공격,피해,표시,트로피,뉴스,시간,추가,플레이,실드,시각,의견,묶음,사체,코인,대한,엠즈,다음,지원,오류,안드로이드,재생률,관련,범위,콜라보,문제,발생,애니메이션,다른,일부,보석,구매,메뉴"
23,24,2019,10,23,"폭풍,감소,타격,스타,레온,폭발,패턴,변경,동안,치유,스파이크,속도,스핏볼,모래,샌디,크로우,로켓,롤러,투척,매직,밸런스,네이팜,효과,은신,포효,페니,포코,소량,상태,최대,지속,여러분,사용,특수,비트,건브렐,일반,회복,유성,테라,초당,햇살,조정,래스터,공격,매틱,피해,바람,맹독,주머니,시간,의견,오라,이동,내용,러시,파워,대한,비비,로드,적의,연막탄,오토,대릴,뮤직,후프,여우,착지,사거리,미니,장전,브록,사냥,증가,지뢰,에고,프리,강철,롤링"
27,28,2019,9,18,"바캉스,제대로,확인,중앙,달성,발동,롤러,수정,효과,밸런스,개인,견제,기타,명의,플레이어,조정,아얏,피해,바람,혼자,추가,방식,이상,돌풍,관련,불사조,규칙,프리,업데이트,변경,게임,속도,무작위,보스,자갈,로보,테이크다운,리코,획득,가장,기기,가장자리,상대,의견,거나,상황,아이콘,부족,참여,질주,원호,애니메이션,지배,발생,보너스,도움말,폭풍,해변,스타,부활,고유,모래,샌디,승리,바운티,상단,아군,큐브,개선,부터,대난투,잠꾸러기,모드,최대,항상,오른쪽,특수,비트,일반,해적,관통,각각,마법사,해제,표시,트로피,전설,사체,스킨,오류,안드로이드,가지,제시,능력,브롤러,모양,부스터,라이프,슬롯,치유,동안,모델링,발리,크로우,이벤트,마지막,수면,여러분,라이더,초당,공격,진행,다운,호그,내용,파워,분노,대한,지원,부어,소환,서로,모든,브록,자동,범위,문제"
32,33,2019,8,29,"확인,대형,기준,달성,교차로,상품,롤러,수정,보상,효과,밸런스,기존,플러시,로봇,화면,근접,방문,기타,매그넘,덤불,스페셜,상점,아이리스,플레이어,등장,특정,조정,이제,피해,일사병,로얄,추가,변화,조립,방망이,시간,최고,알림,정상,예정,정보,필드,모두,사장,업데이트,사이드,실험실,확률,변경,게임,해골,공개,라인,상어,마일,획득,이전,재사용,머리,니키,터렛,가득,시즌,클럽,사용,은색,대체,포인트,현재,팩토리,희귀,플레이,공중,의견,거나,천국,가능,다음,지급,아이콘,연사,제외,폐허,사거리,설치,핑크,오아시스,경우,애니메이션,발생,보너스,처치,시도,장애물,해변,콜트,스타,메일,피해량,레온,부활,예시,모래,헤드,큐브,바운티,개선,아군,도달,초기,추석,페니,태풍,만날,모드,경기장,탭하,특수,비트,일반,야구,래스터,트로피,표시,기간,종료,이번,핀홀,한여름,통해,비비,증폭,스킨,랭크,오류,이후,브롤러,보유,대상,부스터,라이프,보석,슬롯,이스트,홈런,폭발,동안,즉시,모델링,호수,토큰,코스,스트레이트,골대,소급,이벤트,퍼스트,타라,티스,마지막,해당,브롤,여러분,사항,삭제,불모,공격,토끼,진행,다운,진척,황량,클래식,이동,내용,파워,분노,마찬가지,게이지,적용,대한,무료,중거리,스토리,상자,스톤,적군,사원,소환,모든,범위,황무지,문제,증가,곧바로,시점,무성"
36,37,2019,6,27,"확인,스파이크,배경,자신,햇빛,여름,밴드,상품,롤러,감자,음성,수정,격려,보상,밸런스,화면,로봇,개인,맞이,폭탄,포코,골드,메카,쉘리,매그넘,불협화음,포함,스페셜,상점,명의,발사,유성,그림자,조정,아이템,마이크,피해,일사병,바탕,시간,추가,방망이,적중,테마,튕겨,일정,이상,예정,정보,저격,장전,아웃,관련,이드,사냥,대기,알코올,스파링,필드,다른,프랭크,프리,나이트,사장,업데이트,피루엣,실험실,이하,불길,변경,속도,공개,라인,로보,시대,리코,메인,재사용,머리,다리,니키,터렛,가득,쇼키,시즌,사용,수도,셀프,평소,포인트,매틱,팩토리,지하,명중,불의,공중,의견,실드,라이트,로드,적의,보호,지급,자주,영향,대릴,페이스북,분리,사거리,가시,미니,재화,질주,경우,광산,아기,폭파,애니메이션,지뢰,전속력,먹잇감,구매,공장,바위,폭풍,콜트,기능,감소,스타,타격,피해량,레온,펀치,해변,계곡,헤드,모래,로켓,차원,아군,채널,바운티,개선,대포,페니,터프,엄마,생기며,돌진,공식,특수,비치,일반,회복,야구,동굴,갱도,눈동자,트로피,자세,표시,무법자,단장,기간,종료,러시,매치,사체,한여름,압박,비비,핀홀,오토,얼굴,스킨,랭크,오류,스펀지,로사,제시,전환,브롤러,대운하,보석,하이퍼,롤링,에너지,홈런,불꽃,치유,이스트,폭발,불펜,추적,동안,지점,즉시,발리,트위스트,진흙탕,통로,모델링,대치,크로우,선택,소급,탄환,퍼스트,각도,이벤트,타라,인스타그램,은신,음악,티스,상태,브롤,여러분,포크,침수,유독,사항,하나,유도,포물선,또한,커브,초당,삭제,공격,순간,진행,다운,진척,배럴,당한,수리,이동,내용,파워,호기,게이지,대한,충전,기절,파괴,상자,특별,글러브,요새,소환,모든,브록,범위,자동,문제,증가,시점,다발"
40,41,2019,5,21,"제대로,확인,통통,배경,햇빛,롤러,음성,수정,기념,밸런스,개인,화면,급속,럼블,플레이어,커뮤니티,조정,피해,미스,케이크,바탕,추가,피트,대표,테마,예정,에코,아웃,관련,체험,코너,소프트,영웅,업데이트,점핑,사이드,변경,속도,스핏볼,레트로,공개,멤버,깜짝,다리,스윙,가득,클럽,사용,슈퍼셀,의견,질주,지름길,메뉴,트랩,기능,스타,곡선,메일,분열,판타지,바운티,개선,특수,파이,일반,폴리스,오디오,메이플,패드,표시,스톱,비비,플라잉,전투,스킨,오류,로사,점프,캐나다,롤링,주년,지역,이스트,홈런,케이스,발리,런칭,핫휠,삼진,레이어,탄환,이벤트,은신,음악,상태,탈출,여러분,사항,삭제,공격,스퀘어,진행,아래,이동,이중,사이,내용,파워,분노,게이지,대한,적용,스토리,물속,브록,문제,증가,향상,일부,풍선껌"
44,45,2019,4,15,"반경,티밍,확인,스파이크,중앙,충격,발동,표기,요청,합류,롤러,음성,수정,참가,보상,근처,효과,무리,기존,밸런스,엘프,화면,로봇,요소,골드,럼블,덤불,플레이어,철로,조정,피해,친선,프로필,로얄,시간,고물,조립,추가,안정,기술,테마,태그,튕겨,금고,이상,정보,영역,스파링,대기,체험,거절,프랭크,프리,이름,업데이트,변경,언어,게임,공개,라인,보스,처리,멤버,로보,동시,자책골,색상,선수,수준,시즌,클럽,사용,메이킹,상대,팩토리,멀리,희귀,공중,플레이,관전,의견,증가,가능,골로,시청,보호,제거,아이콘,튜토리얼,영향,제외,두번째,조금,광산,애니메이션,처음,볼트,메뉴,감소,유성우,기능,스타,브룩,레온,중일,공원,판타지,개선,라이브,수락,대포,폴란드어,페니,모드,특수,일반,회복,버섯,네트워크,오디오,주먹,공이,열차,표시,중인,트로피,종료,보고,스테이지,매치,사체,통해,플라잉,물이,전투,스킨,오류,랭크,통계,로사,시바견,상호작용,런웨이,드링크,신규,미리,이후,브롤러,자연,보석,지역,에너지,폭발,목표,동안,버튼,모델링,발리,토큰,즉시,스트레이트,선택,위험,이벤트,음악,덩굴,마지막,히브리어,상태,브롤,여러분,사항,박스,공격,실험,토끼,센터,진행,다운,아래,이동,시각,이중,내용,인정,파워,매칭,분노,대한,무료,기절,겨냥,타로,수트,포탑,파괴,광기,소환,모든,범위,문제,접속,메인,향상,일부"
